" 만족해하는, 기쁜", pleased
" 저해하다, 방해하다", impede
" 이끌다, 어떤 결과에이르다", lead
 특정한, particular
" 붐, 호황", boom
 A가 아니라 B다, A B not A but B
" 던지다, 드리우다", cast
" 제한된, 한정된", limited
 값가치가 하락하다, fall
 낙관적인, optimistic
 잠재적인, potential
 경기; 경제, economy
" 다르게, 별도로", differently
 가맹 사업; 독점판매권, franchise
 시작, beginning
" 유망한, 전망이 좋은", promising
 불황, depression
" 호황의, 활발한", brisk
 산업의, industrial
" 오르내리는, 기복이 있는", up-and-down
" 가득 찬, 완전한", full
" 호기심 많은, 궁금해하는", curious
" 주로, 원래", primarily
 사진가, photographer
" 소홀히 하다, 무시하다", disregard
" 신념, 믿음", belief
 전략, strategy
 사용되는, in use
 베스트셀러 작가, best-selling author
" 방법, 수단", means
 반드시, necessarily
 잠깐 들르다, drop by
" 즉각적으로, 즉시", instantly
 착실하게; 꾸준히, steadily
" 부재; 결석, 결근", absence
" 창조적인, 독창적인", creative
 다른 것보다 을 더좋아하다, prefer
" 구멍, 틈", hole
" 모두 합해, 총", in total
" 에 속하다, 의소유물이다", belong to
 선글라스, sunglasses
 백화점, department store
" 노점상, 가판대, 판매업체", vendor
" 상표, 브랜드", brand
" 환불, 환불금", refund
 정확히, exactly
" 주의 깊게, 신중히", carefully
 공식적으로, officially
" 아끼다, 할애하다", spare
 은행상점호텔 등의 출납원, cashier
 제공하다, offer
 가격, price
 가게, store
" 욕구, 갈망", desire
" 지역, 구역", area
" 전시하다, 진열하다", display
 구매하다, purchase
" 품질 등의 보증,보증서", warranty
 상대적으로, relatively
 슈퍼마켓, supermarket
 고맙게 생각하다; 높이평가하다, appreciate
 도구, tool
" 격식에 얽매이지 않는,편안한", informal
 조사하다, examine
" 예상, 기대", expectation
" 운동, 캠페인", campaign
" 사다, 구입하다", buy
 찾아내다, find out
" 전시된, 진열된", on display
 응답자, respondent
 설문 조사, survey
" 예약하다, 지정하다; 보존하다", reserve
 에 근거하다, be based on
 있는 그대로, as it is
" 경쟁을 하는, 경쟁력있는", competitive
" 설명; 드러냄, 시연", demonstration
" 을 잘 알고 있다,에 익숙하다", be familiar with
 에 영향을 미치다, affect
" 집중시키다, 집중하다", focus
 시도하다, attempt
